tcp_frame_length,tcp_ip_length,tcp_length,udp_frame_length,udp_ip_length,udp_length,arp_frame_length,src_length,dst_length,num_ssl,num_http,num_ftp,num_ssh,num_smtp,num_dhcp,num_dns,num_tcp,num_udp,num_arp,connection_pairs,num_ports,num_packets
765,625,129,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,3,10
0,0,0,848,792,712,0,792,712,4,0,0,0,0,0,0,0,4,0,1,2,4
378,302,66,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,5
0,0,0,478,422,342,0,422,342,4,0,0,0,0,0,0,0,4,0,1,3,4
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
1166,1054,646,172,144,104,0,144,104,2,0,0,0,0,0,0,8,2,0,3,6,10
19666,18946,16946,180,152,112,0,152,112,2,0,0,0,0,0,0,48,2,0,3,7,50
17079,16379,13971,242,214,174,0,214,174,2,0,0,0,0,0,0,50,2,0,3,5,52
264,222,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3
492,382,66,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,4,7
246,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,4
264,222,66,89,75,55,0,75,55,1,0,0,0,0,0,0,3,1,0,2,4,4
977,823,235,985,915,815,84,915,815,6,0,0,0,0,0,0,11,5,2,3,6,18
114,80,0,0,0,0,120,0,0,0,0,0,0,0,0,0,2,0,2,2,2,4
9977,9579,8403,272,230,170,0,230,170,2,0,0,0,0,0,0,28,3,0,3,6,31
492,382,66,184,156,116,0,156,116,0,0,0,0,0,0,0,7,2,0,3,5,9
132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
324,262,66,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,4
60,40,0,0,0,0,84,0,0,0,0,0,0,0,0,0,1,0,2,2,2,3
114,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
396,326,66,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,5
10354,9860,8384,180,152,112,84,152,112,2,0,0,0,0,0,0,34,2,2,3,6,38
132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
264,222,66,636,594,534,0,594,534,3,0,0,0,0,0,0,3,3,0,2,4,6
0,0,0,212,198,178,0,198,178,1,0,0,0,0,0,0,0,1,0,1,2,1
318,262,66,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,4
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
6288,5926,4774,180,152,112,0,152,112,2,0,0,0,0,0,0,25,2,0,4,7,27
6244,5978,5174,0,0,0,84,0,0,0,0,0,0,0,0,0,19,0,2,2,2,21
439,369,97,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,5
0,0,0,478,422,342,0,422,342,4,0,0,0,0,0,0,0,4,0,1,3,4
0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
444,354,66,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,3,6
9285,8907,7463,494,452,392,0,452,392,2,0,0,0,0,0,0,27,3,0,3,5,30
17683,17107,15411,1026,942,822,0,942,822,6,0,0,0,0,0,0,39,6,0,4,8,45
671,595,395,0,0,0,84,0,0,0,0,0,0,0,0,0,5,0,2,2,2,7
9680,9318,8230,180,152,112,0,152,112,2,0,0,0,0,0,0,25,2,0,2,5,27
2256,2116,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,2,10
443,373,101,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,5
132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2
432,342,66,0,0,0,60,0,0,0,0,0,0,0,0,0,6,0,1,3,4,7
977,823,235,226,198,158,0,198,158,3,0,0,0,0,0,0,11,2,0,2,4,13
